代码,名称,原总市值(亿),预测总市值(亿),市值差比率
600596,新安股份,78.3,77.97,-0.42%
600597,光明乳业,103.0,111.44,8.19%
600598,北大荒,149.0,169.17,13.54%
600600,青岛啤酒,449.0,277.97,-38.09%
600601,方正科技,59.0,51.88,-12.07%
600602,云赛智联,76.9,57.65,-25.03%
600603,广汇物流,53.5,36.7,-31.40%
600604,市北高新,135.0,124.38,-7.87%
600605,汇通能源,14.4,15.68,8.89%
600606,绿地控股,761.0,843.2,10.80%
600609,金杯汽车,36.5,26.65,-26.99%
600611,大众交通,97.4,62.61,-35.72%
600612,老凤祥,220.0,172.38,-21.65%
600613,神奇制药,27.4,26.67,-2.66%
600614,鹏起科技,99.9,100.65,0.75%
600615,丰华股份,20.0,24.71,23.55%
600616,金枫酒业,25.7,26.91,4.71%
600617,国新能源,52.5,62.23,18.53%
600618,氯碱化工,77.8,74.2,-4.63%
600619,海立股份,73.5,64.43,-12.34%
600620,天宸股份,36.7,8.46,-76.95%
600621,华鑫股份,99.5,76.34,-23.28%
600622,光大嘉宝,67.6,66.32,-1.89%
600623,华谊集团,169.0,211.31,25.04%
600624,复旦复华,42.1,55.21,31.14%
600626,申达股份,36.9,28.78,-22.01%
600628,新世界,42.0,24.31,-42.12%
600629,华建集团,48.4,62.48,29.09%
600630,龙头股份,30.4,36.56,20.26%
600633,浙数文化,114.0,141.26,23.91%
600634,*ST富控,17.0,54.73,221.94%
600635,大众公用,141.0,134.19,-4.83%
600636,三爱富,53.5,40.63,-24.06%
600637,东方明珠,357.0,431.33,20.82%
600638,新黄浦,60.3,71.07,17.86%
600639,浦东金桥,130.0,116.5,-10.38%
600640,号百控股,84.4,77.17,-8.57%
600641,万业企业,76.3,61.92,-18.85%
600642,申能股份,231.0,226.66,-1.88%
600643,爱建集团,140.0,169.35,20.96%
600644,乐山电力,26.2,31.37,19.73%
600645,中源协和,78.8,87.48,11.02%
600647,同达创业,18.3,59.39,224.54%
600648,外高桥,160.0,170.03,6.27%
600650,锦江投资,54.3,21.38,-60.63%
600651,飞乐音响,33.9,31.72,-6.43%
600652,游久游戏,33.7,35.12,4.21%
600653,申华控股,39.1,36.48,-6.70%
600654,ST中安,26.4,16.37,-37.99%
600655,豫园股份,285.0,227.21,-20.28%
600657,信达地产,121.0,130.97,8.24%
600658,电子城,61.3,81.49,32.94%
600660,福耀玻璃,566.0,530.31,-6.31%
600661,昂立教育,57.4,80.65,40.51%
600662,强生控股,46.2,43.11,-6.69%
600663,陆家嘴,442.0,348.37,-21.18%
600664,哈药股份,96.7,82.18,-15.02%
600665,天地源,32.0,41.56,29.88%
600666,奥瑞德,39.9,-14.1,-135.34%
600667,太极实业,115.0,87.91,-23.56%
600668,尖峰集团,41.2,16.88,-59.03%
600671,天目药业,22.8,69.78,206.05%
600673,东阳光科,246.0,189.77,-22.86%
600674,川投能源,365.0,472.95,29.58%
600675,中华企业,278.0,130.48,-53.06%
600676,交运股份,46.6,47.29,1.48%
600677,航天通信,73.6,78.64,6.85%
600678,四川金顶,20.3,29.54,45.52%
600679,上海凤凰,41.8,33.51,-19.83%
600681,百川能源,122.0,89.84,-26.36%
600682,南京新百,120.0,87.74,-26.88%
600683,京投发展,31.8,39.52,24.28%
