最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润
4.42,20.75,1.77,38.0,22.5,-12.75,4.17,0.7547,0.16,10.2,0.7983,2.49,384.38,1.66,0.33,24.18,26.2,10.2,2.82,2.6,51.5,5.56,13.5,12.6,0.8262,1.09,0.8135
6.61,12.86,1.62,45.0,41.9,15.59,15.0,3.0,0.39,13.8,3.0,4.09,18.61,5.9,0.91,33.13,33.7,13.8,12.0,2.41,16.52,13.5,5.57,4.98,0.5928,2.09,2.49
5.08,12.28,1.27,4.0,498.0,13.38,879.0,57.6,0.31,210.0,63.1,4.0,-43.27,180.0,1.24,15.32,2396.0,210.0,1719.0,20.0,74.24,268.0,1779.0,770.0,1009.0,1.85,44.9
7.55,32.19,2.66,9.0,75.0,8.26,8.25,1.92,0.18,10.4,1.93,2.84,-12.26,9.3,0.94,25.55,51.4,10.4,35.2,0.2375,46.3,7.79,23.8,11.5,12.3,0.78,1.75
3.45,-4.69,1.41,5.0,25.6,20.97,50.8,-5.85,-0.55,73.2,-5.85,2.45,-257.42,-7.21,-0.69,7.22,248.0,73.2,99.3,7.75,87.4,20.4,217.0,164.0,52.6,1.95,-5.76
19.18,63.25,4.25,15.0,227.0,13.41,45.3,3.33,0.23,98.0,3.34,4.51,5.16,23.7,2.01,14.35,122.0,98.0,11.8,5.46,47.06,16.4,57.5,55.5,1.95,1.39,2.69
7.59,-6.01,4.48,23.0,23.3,-62.52,8.55,-2.85,-0.95,11.0,-2.82,1.69,-1301.13,-1.79,-0.58,12.24,21.2,11.0,3.68,1.22,65.28,3.32,13.8,12.7,1.11,1.08,-2.91
13.35,15.49,1.22,24.0,88.8,-6.58,67.3,7.82,0.65,78.9,7.93,10.98,-3.79,44.6,5.1,3.47,183.0,78.9,0.9899,4.98,43.69,19.3,80.1,67.4,12.8,2.21,5.65
3.03,14.0,0.85,46.0,30.8,-18.85,36.5,5.16,0.16,55.3,5.44,3.57,-73.22,11.6,1.15,34.98,121.0,55.3,42.6,5.26,59.46,4.44,72.2,69.2,2.99,0.44,1.65
3.77,-9.2,0.56,47.0,43.7,-13.4,122.0,-3.65,-0.31,128.0,-3.71,6.76,-176.28,26.4,2.28,3.58,182.0,128.0,6.53,0.4966,54.93,21.2,100.0,93.5,6.57,1.83,-3.56
6.66,5.77,0.75,46.0,76.1,6.49,63.2,11.8,0.87,56.3,12.4,8.9,33.22,66.6,5.83,41.45,252.0,56.3,67.5,60.0,57.74,2.65,146.0,114.0,31.6,0.23,9.88
7.12,17.08,1.67,23.0,93.0,40.93,120.0,5.41,0.31,53.0,5.53,4.27,46.92,35.5,2.72,6.21,94.9,53.0,35.1,3.93,41.1,1.58,39.0,35.0,3.98,0.12,4.08
4.65,7.34,0.86,5.0,56.0,-3.46,197.0,21.9,0.48,127.0,21.8,5.38,35.01,39.9,1.18,13.52,273.0,127.0,93.1,40.0,32.69,103.0,89.2,81.1,8.08,3.04,16.1
3.02,-82.92,2.63,39.0,19.4,9.69,21.9,-0.1978,-0.03,11.6,-0.155,1.15,-293.77,-3.87,-0.6,11.29,21.2,11.6,5.86,2.15,61.77,4.66,13.1,11.6,1.45,0.73,-0.1753
8.22,-37.62,1.53,24.0,20.3,16.96,33.4,-0.3421,-0.16,17.5,-0.3638,5.36,-779.52,4.14,1.68,6.49,29.5,17.5,3.18,0.8714,49.57,5.17,14.6,12.9,1.7,2.1,-0.4044
8.72,24.86,1.51,22.0,37.2,16.91,77.4,2.54,0.26,70.6,2.49,5.78,87.19,6.07,1.09,42.03,122.0,70.6,23.1,11.9,73.45,20.5,89.4,69.1,20.3,3.68,1.47
3.96,65.15,3.47,42.0,30.4,-66.68,4.06,0.3446,0.05,6.79,0.3501,1.14,148.23,-4.18,-0.54,11.98,10.1,6.79,0.7831,0.1311,13.18,4.56,1.33,1.26,0.0681,0.59,0.3501
6.23,21.45,2.54,9.0,25.4,42.58,7.98,1.15,0.22,2.2,1.16,2.45,85.14,4.72,0.94,15.79,23.9,2.2,13.7,0.227,48.62,0.9714,11.6,4.0,7.64,0.19,1.1
6.13,17.85,1.21,16.0,33.0,25.91,59.6,3.7,0.26,169.0,3.7,5.05,-74.55,13.8,1.9,15.5,234.0,169.0,8.41,11.0,78.98,12.7,185.0,132.0,53.2,1.76,1.87
6.36,67.64,1.4,43.0,23.7,-0.28,14.2,0.2882,0.07,16.5,0.3568,4.55,-62.17,2.7,0.73,14.02,22.5,16.5,3.65,1.28,23.97,9.0,5.4,5.15,0.2427,2.41,0.263
8.37,23.5,1.5,14.0,28.8,225.58,13.3,1.32,0.27,61.4,1.32,5.57,160.03,4.09,0.84,39.72,108.0,61.4,0.2013,3.72,62.18,16.9,66.9,38.5,28.3,3.47,1.3
13.43,45.05,2.65,29.0,13.1,10.55,2.2,0.2497,0.22,4.84,0.2501,5.07,5.54,0.4248,0.44,21.03,6.16,4.84,0.7908,0.3977,20.03,3.42,1.23,1.22,0.0111,3.52,0.2174
13.14,13.05,1.57,20.0,95.1,15.79,89.3,10.4,0.76,67.9,10.5,8.38,9.06,34.6,4.78,24.06,143.0,67.9,27.8,7.94,43.73,17.5,62.4,57.0,5.49,2.42,5.47
3.24,-44.41,5.67,6.0,21.4,16.21,2.1,-0.2484,-0.05,14.5,-0.2594,0.57,80.16,-7.45,-1.13,56.28,43.0,14.5,2.88,5.51,79.62,3.76,34.2,13.5,20.7,0.57,-0.3621
10.15,14.14,1.1,34.0,61.0,20.1,143.0,10.8,0.54,68.5,9.07,9.25,62.46,16.9,2.32,17.64,261.0,68.5,128.0,13.5,64.94,40.2,170.0,129.0,40.8,5.53,3.91
