,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
3440,300497,富祥股份,18,17.56,3.7,22,22.2亿,26.83,8.92亿,2.02亿,0.77,11.7亿,2.02亿,4.87,23.84,5.25亿,2.34,39.06,20.5亿,11.7亿,3.59亿,1.03亿,45.07,3.21亿,9.25亿,7.81亿,1.44亿,1.43,1.73亿,40.4亿
3441,300498,温氏股份,27.81,38.22,4.4,39,1053亿,4.13,408亿,31.8亿,0.55,203亿,31.6亿,6.31,-28.2,207亿,3.9,15.08,514亿,203亿,157亿,11.2亿,33.23,61.8亿,171亿,121亿,49.5亿,1.16,29.0亿,1478亿
3442,300499,高澜股份,14.94,38.33,2.72,58,10.1亿,1.75,4.19亿,3593万,0.29,8.89亿,3563万,5.49,31.17,2.94亿,2.45,38.41,12.1亿,8.89亿,1.35亿,5632万,45.63,2.15亿,5.53亿,5.10亿,4269万,1.79,3508万,17.9亿
3443,300500,启迪设计,23.14,38.17,2.54,16,10.0亿,89.4,6.11亿,8070万,0.45,12.1亿,8071万,9.1,43.3,2.99亿,2.22,33.61,20.7亿,12.1亿,2.24亿,4797万,38.78,7.76亿,8.02亿,5.83亿,2.19亿,5.78,6102万,31.1亿
3444,300501,海顺新材,17.62,25.73,2.82,54,6.35亿,32.61,3.56亿,5906万,0.51,4.56亿,6042万,6.24,9.57,2.37亿,2.35,32.97,8.84亿,4.56亿,2.73亿,7416万,20.65,2.72亿,1.82亿,1.75亿,766万,2.7,5181万,17.8亿
3445,300502,新易盛,21.61,713.37,4.72,42,27.9亿,-19.32,5.34亿,596万,0.02,9.41亿,674万,4.58,-94.4,4.67亿,1.96,17.1,13.5亿,9.41亿,2.94亿,726万,19.27,3.97亿,2.60亿,2.57亿,334万,1.66,542万,51.5亿
3446,300503,昊志机电,9.12,38.02,2.91,13,9.36亿,3.53,3.20亿,5645万,0.18,8.02亿,5753万,3.13,-16.94,3.60亿,1.42,50.95,13.8亿,8.02亿,3.26亿,5866万,40.12,1.74亿,5.52亿,3.36亿,2.17亿,0.68,4561万,23.1亿
3447,300504,天邑股份,28.17,43.1,4.34,42,18.8亿,24.21,21.3亿,1.48亿,0.49,25.0亿,1.52亿,6.49,-27.49,6.45亿,2.41,16.87,27.0亿,25.0亿,1.65亿,2028万,35.72,7.60亿,9.64亿,9.61亿,280万,2.84,1.31亿,75.3亿
3448,300505,川金诺,24.31,40.85,3.26,34,9.28亿,16.94,6.62亿,4870万,0.45,4.47亿,4933万,7.46,7.06,2.87亿,3.07,28.91,10.2亿,4.47亿,4.06亿,9069万,31.97,2.77亿,3.27亿,3.27亿,0,2.97,4167万,22.7亿
3449,300506,名家汇,15.04,15.36,2.91,53,20.1亿,135.81,9.74亿,3.26亿,0.73,23.2亿,3.24亿,5.17,115.48,5.81亿,1.58,50.96,35.0亿,23.2亿,6363万,965万,46.36,8.45亿,16.2亿,15.3亿,9204万,2.45,2.53亿,51.9亿
3450,300507,苏奥传感,17.75,22.22,2.34,6,10.2亿,6.3,4.62亿,8906万,0.6,8.92亿,8918万,7.58,0.02,4.52亿,3.7,29.18,11.4亿,8.92亿,1.21亿,1476万,16.24,3.37亿,1.85亿,1.75亿,1008万,2.75,7322万,21.7亿
3451,300508,维宏股份,25.99,522.5,4.72,56,6.17亿,14.09,1.73亿,-589万,0.04,3.86亿,-168万,5.51,-95.1,2.16亿,2.37,63.69,5.44亿,3.86亿,1.05亿,813万,8,1.66亿,4354万,3009万,1345万,1.83,339万,23.6亿
3452,300509,新美星,12.09,37.72,3.09,13,6.04亿,3.44,3.88亿,3796万,0.24,9.34亿,4398万,3.92,4.69,1.77亿,1.16,35.57,13.2亿,9.34亿,2.70亿,3041万,51.97,2.39亿,6.84亿,6.63亿,2027万,1.57,3653万,18.4亿
3453,300510,金冠股份,9.01,30.74,1.14,38,15.7亿,89.83,7.61亿,1.38亿,0.22,17.4亿,1.38亿,7.93,60.28,4.19亿,0.77,36.01,53.0亿,17.4亿,7.74亿,1.87亿,20.77,34.4亿,11.0亿,7.24亿,3.76亿,6.11,1.15亿,47.3亿
3454,300511,雪榕生物,6.27,15.27,1.76,39,14.7亿,64.15,13.1亿,9784万,0.31,6.45亿,1.37亿,3.55,62.34,6.44亿,1.48,12.17,37.5亿,6.45亿,23.5亿,2.55亿,58.24,4.28亿,21.8亿,12.7亿,9.13亿,0.99,1.34亿,27.2亿
3455,300512,中亚股份,12.76,17.35,2.68,13,9.93亿,2.41,5.16亿,1.68亿,0.55,14.1亿,1.75亿,4.76,6.49,3.56亿,1.32,44.69,19.3亿,14.1亿,8638万,7938万,33.13,5.68亿,6.40亿,6.25亿,1537万,2.11,1.49亿,34.5亿
3456,300513,恒泰实达,23.55,40.53,1.8,56,14.5亿,145.64,5.44亿,8165万,0.44,15.1亿,8204万,13.08,1197.67,2.76亿,1.63,32.63,29.9亿,15.1亿,1.12亿,4699万,23.46,17.5亿,7.01亿,6.88亿,1318万,10.32,7398万,40.0亿
3457,300514,友讯达,12.68,79.59,5.07,42,11.5亿,18.9,4.17亿,2913万,0.12,7.29亿,2911万,2.5,-49.45,1.67亿,0.83,38.49,7.75亿,7.29亿,2227万,1542万,35.42,1.14亿,2.74亿,2.71亿,369万,0.57,2390万,25.4亿
3458,300515,三德科技,9.22,46.35,3.91,30,8.39亿,27.96,1.74亿,3374万,0.15,4.34亿,3372万,2.36,46.9,1.36亿,0.67,55.86,5.71亿,4.34亿,9679万,701万,18.16,1.10亿,1.04亿,7471万,2897万,0.58,3015万,18.6亿
3459,300516,久之洋,29.92,117.47,3.05,50,14.1亿,70.69,3.01亿,2288万,0.19,10.6亿,2427万,9.81,-17.57,3.76亿,3.13,29.41,13.1亿,10.6亿,1.82亿,718万,10.33,6.28亿,1.36亿,1.36亿,0,5.23,2292万,35.9亿
3460,300517,海波重科,13.84,50.03,2.32,16,5.69亿,24.04,2.80亿,2443万,0.21,9.39亿,2444万,5.96,3.23,2.37亿,2.21,17.36,12.1亿,9.39亿,8023万,6604万,47.56,2.96亿,5.77亿,5.74亿,290万,2.77,2217万,14.8亿
3461,300518,盛讯达,23.09,535.93,1.98,56,10.8亿,94.13,2.95亿,969万,0.03,4.37亿,617万,11.67,-94.13,4.59亿,4.91,25.83,18.0亿,4.37亿,1.07亿,4220万,35.26,4.90亿,6.36亿,2.87亿,3.48亿,5.25,302万,21.6亿
3462,300519,新光药业,13.91,25.2,3.04,22,13.7亿,-8.43,2.04亿,7765万,0.41,6.30亿,7770万,4.57,-11.81,3.52亿,2.2,56.19,7.91亿,6.30亿,6091万,962万,7.48,1.61亿,5916万,4794万,1121万,1.01,6624万,22.3亿
3463,300520,科大国创,15.61,119.2,5.46,56,17.6亿,32.45,4.91亿,1846万,0.1,9.79亿,1726万,2.86,317.17,1.95亿,0.97,40.26,11.5亿,9.79亿,3748万,1086万,49.21,1.65亿,5.68亿,5.55亿,1269万,0.81,1988万,31.6亿
3464,300521,爱司凯,9.38,55.5,2.67,58,8.90亿,-7.29,1.26亿,2058万,0.13,3.95亿,2174万,3.51,-37.09,2.02亿,1.41,49.57,5.58亿,3.95亿,3278万,1415万,9.48,1.40亿,5289万,4707万,582万,0.97,1825万,13.5亿
3465,300522,世名科技,16.34,24.85,3.15,34,8.31亿,15.75,2.54亿,6543万,0.49,4.82亿,6548万,5.18,25.14,2.40亿,1.98,43.82,6.92亿,4.82亿,1.36亿,2857万,9.45,2.42亿,6542万,6053万,490万,2,5966万,19.8亿
3466,300523,辰安科技,58.29,77.81,9,56,59.8亿,97.93,5.01亿,1.19亿,0.56,12.8亿,1.19亿,6.48,4921.73,3.70亿,2.57,59.78,15.0亿,12.8亿,1.26亿,4309万,32.13,4.04亿,4.82亿,4.26亿,5639万,2.8,8090万,83.9亿
3467,300525,博思软件,24.76,1002.61,6.17,56,19.4亿,72.55,2.26亿,378万,0.02,3.89亿,386万,4.01,-80.81,1.82亿,1.41,66.23,7.37亿,3.89亿,1.40亿,2023万,25.88,2.67亿,1.91亿,1.43亿,4796万,2.06,240万,32.1亿
3468,300526,中潜股份,11.58,72.35,3.66,58,6.93亿,6.32,2.99亿,2458万,0.12,2.77亿,2538万,3.16,-38.01,2.50亿,1.46,33.83,9.53亿,2.77亿,7731万,1.14亿,43.12,1.13亿,4.11亿,3.96亿,1500万,0.66,2058万,19.9亿
3469,300527,中国应急,7.28,36.33,3.04,58,18.8亿,-4.33,12.7亿,1.51亿,0.15,23.2亿,1.52亿,2.4,1.69,5.82亿,0.67,22.88,30.7亿,23.2亿,3.55亿,2.05亿,31.65,5.66亿,9.71亿,9.14亿,5691万,0.65,1.31亿,63.7亿
3470,300528,幸福蓝海,8.84,23.81,1.65,14,14.7亿,25.52,13.6亿,1.13亿,0.28,20.6亿,1.15亿,5.35,50.63,7.22亿,1.94,41.13,32.3亿,20.6亿,3.15亿,2947万,35.56,8.60亿,11.5亿,11.4亿,959万,2.31,1.04亿,32.9亿
3471,300529,健帆生物,40.34,41.3,10.55,21,43.1亿,41.95,6.98亿,3.51亿,0.73,12.2亿,3.63亿,3.82,50.35,6.41亿,1.54,84.8,18.8亿,12.2亿,3.24亿,3372万,15.04,5.38亿,2.83亿,2.41亿,4174万,1.29,3.06亿,168亿
3472,300530,达志科技,30.93,37.36,4.43,34,6.52亿,7,1.13亿,5030万,0.62,4.68亿,5230万,6.98,-0.26,1.93亿,2.74,48.66,5.69亿,4.68亿,1390万,1621万,10.38,2.08亿,5907万,3859万,2048万,2.95,4372万,21.8亿
3473,300531,优博讯,16.82,35.71,6.82,41,20.5亿,147.09,6.93亿,1.19亿,0.35,9.83亿,1.17亿,2.46,143.13,3.69亿,1.32,34.56,11.8亿,9.83亿,3656万,399万,39.03,2744万,4.61亿,4.53亿,754万,0.1,9892万,47.1亿
3474,300532,今天国际,10.66,102.94,3.8,56,12.8亿,-15.68,3.45亿,1690万,0.08,11.9亿,1945万,2.8,-65.69,2.65亿,0.95,32.52,14.8亿,11.9亿,8536万,1320万,47.63,2.32亿,7.07亿,6.78亿,2917万,0.84,2153万,29.6亿
3475,300533,冰川网络,32.69,35.86,2.14,56,13.3亿,-9.6,2.03亿,7747万,0.68,17.2亿,7813万,15.29,3.57,5.15亿,5.09,89.81,17.6亿,17.2亿,441万,126万,12.58,9.11亿,2.22亿,2.22亿,0,9,6923万,33.1亿
3476,300534,陇神戎发,5.94,127.03,2.51,22,12.0亿,-20.63,1.53亿,1258万,0.04,2.69亿,1262万,2.37,-17.49,1.58亿,0.52,40.12,7.79亿,2.69亿,2.94亿,5363万,7.63,2.31亿,5938万,4314万,1624万,0.76,1064万,18.0亿
3477,300535,达威股份,13.23,29.23,1.99,34,7.00亿,12.72,2.73亿,4150万,0.34,4.66亿,4150万,6.64,-15.53,2.81亿,2.69,45.25,8.06亿,4.66亿,1.56亿,3622万,13.95,3.27亿,1.12亿,1.06亿,684万,3.13,3543万,13.8亿
3478,300536,农尚环境,9.02,26.77,2.7,62,5.51亿,7.24,3.46亿,4951万,0.25,11.1亿,5017万,3.34,3.7,2.32亿,1.38,29.43,11.3亿,11.1亿,1219万,52.7万,50.43,1.34亿,5.70亿,5.70亿,0,0.8,4236万,15.1亿
3479,300537,广信材料,10.45,40.94,1.62,34,9.74亿,52.26,4.38亿,4333万,0.19,6.23亿,4308万,6.47,-21.79,1.98亿,1.03,38.09,15.5亿,6.23亿,1.75亿,1.36亿,18.98,8.31亿,2.94亿,2.67亿,2702万,4.3,3695万,20.2亿
3480,300538,同益股份,20.68,50.33,4.14,34,4.96亿,31.29,9.57亿,3081万,0.31,5.97亿,3395万,4.99,139.44,1.49亿,1.76,10.32,6.41亿,5.97亿,1177万,104万,32.96,1.84亿,2.11亿,2.11亿,0,2.18,2598万,17.4亿
3481,300539,横河模具,8.62,108.54,4.7,48,5.25亿,12.5,3.92亿,1679万,0.06,5.13亿,1726万,1.83,-53.6,1.48亿,0.71,21.24,9.39亿,5.13亿,2.26亿,8786万,56.31,1255万,5.28亿,4.06亿,1.23亿,0.06,1245万,18.0亿
3482,300540,深冷股份,12.81,191.72,2.45,13,8.20亿,28.88,2.06亿,710万,0.05,10.4亿,660万,5.23,-39.89,2.03亿,1.63,25.05,11.0亿,10.4亿,1335万,1014万,40.04,3.20亿,4.41亿,4.40亿,141万,2.57,623万,15.9亿
3483,300541,先进数通,14.28,85.27,3.5,56,10.8亿,60.12,8.35亿,2739万,0.13,12.7亿,2742万,4.08,19.21,2.45亿,1.35,13.66,14.6亿,12.7亿,6167万,472万,49.49,3.11亿,7.25亿,7.24亿,36.0万,1.71,2275万,25.9亿
3484,300542,新晨科技,14.41,157.68,3.66,56,8.12亿,-6.62,3.54亿,1276万,0.07,8.57亿,1278万,3.94,0.81,2.67亿,1.72,24.47,9.85亿,8.57亿,4594万,582万,38.01,1.63亿,3.74亿,3.74亿,43.4万,1.05,1063万,22.3亿
3485,300543,朗科智能,16.91,47.34,3.12,41,7.20亿,9.56,8.62亿,3095万,0.27,7.77亿,3565万,5.42,-50.14,2.26亿,1.89,14.54,10.0亿,7.77亿,1.82亿,2891万,35.03,2.70亿,3.51亿,3.49亿,162万,2.25,3215万,20.3亿
3486,300545,联得装备,19.77,30.31,4.94,50,9.16亿,40.52,4.94亿,8183万,0.49,8.91亿,8320万,4,64.99,2.44亿,1.69,33.72,12.1亿,8.91亿,1526万,1.19亿,52.21,1.82亿,6.30亿,6.23亿,779万,1.26,7049万,28.5亿
3487,300546,雄帝科技,25.92,44.7,5.1,58,16.7亿,57.84,3.57亿,6676万,0.43,11.7亿,6971万,5.08,43.34,3.42亿,2.53,45.57,12.8亿,11.7亿,1502万,2056万,46.27,1.97亿,5.92亿,5.84亿,812万,1.46,5881万,35.0亿
3488,300547,川环科技,16.92,16.87,2.81,48,10.6亿,3.68,4.72亿,1.08亿,0.75,7.67亿,1.08亿,6.03,25.89,3.18亿,2.57,33.54,9.85亿,7.67亿,1.50亿,1071万,24.46,3.28亿,2.41亿,1.95亿,4550万,2.66,9290万,20.9亿
3489,300548,博创科技,36.98,51.17,4.7,42,12.6亿,-24.65,1.95亿,4660万,0.54,4.72亿,5111万,7.86,-23.25,2.98亿,3.6,29.9,7.24亿,4.72亿,9282万,619万,10.21,2.25亿,7386万,6126万,1260万,2.72,4481万,30.6亿
