,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
3501,300560,中富通,20.93,71.19,6.48,42,14.0亿,21.13,3.42亿,4101万,0.22,5.30亿,4084万,3.23,7.75,2.33亿,1.48,26.65,6.43亿,5.30亿,7375万,59.4万,20.72,9576万,1.33亿,1.33亿,0,0.61,3479万,33.0亿
3502,300561,汇金科技,13.4,108.11,3.41,56,9.00亿,-0.29,1.35亿,1982万,0.09,6.84亿,1997万,3.93,-64.14,2.13亿,1.25,53.18,7.40亿,6.84亿,1370万,1185万,9.38,2.83亿,6945万,6315万,630万,1.66,1585万,22.8亿
3503,300562,乐心医疗,10.74,86.69,3.87,21,9.00亿,-17.55,5.33亿,1659万,0.09,5.30亿,2070万,2.78,716.03,1.85亿,0.98,25.21,8.11亿,5.30亿,1.42亿,4087万,35.29,1.22亿,2.86亿,2.86亿,0,0.64,1754万,20.3亿
3504,300563,神宇股份,25.43,45.5,4.3,50,8.16亿,16.77,2.76亿,4055万,0.42,3.23亿,4053万,5.92,2.82,2.12亿,2.65,25.54,6.21亿,3.23亿,2.35亿,4536万,23.76,1.59亿,1.48亿,1.31亿,1688万,1.99,3354万,20.3亿
3505,300565,科信技术,15.12,113.8,4.23,42,10.9亿,-11.18,4.26亿,2478万,0.1,7.49亿,2488万,3.57,-48.6,2.46亿,1.18,33.61,10.2亿,7.49亿,8947万,3769万,27.08,2.56亿,2.76亿,2.59亿,1670万,1.23,2073万,31.4亿
3506,300566,激智科技,13.26,33.28,3.36,50,12.5亿,28.68,6.42亿,4963万,0.3,10.2亿,5399万,3.95,2.75,2.35亿,1.52,26.21,18.3亿,10.2亿,3.72亿,9686万,65.66,2.03亿,12.0亿,10.5亿,1.57亿,1.31,4638万,20.6亿
3507,300567,精测电子,50.29,32.34,8.17,58,42.1亿,70.28,8.79亿,2.37亿,1.17,18.5亿,2.38亿,6.16,66.38,4.70亿,2.87,50.88,22.1亿,18.5亿,7036万,5961万,52.42,4.11亿,11.6亿,11.1亿,5469万,2.52,1.91亿,82.3亿
3508,300568,星源材质,22.6,18.21,3.12,43,29.1亿,9.48,4.23亿,1.11亿,0.93,11.6亿,2.11亿,7.24,94.73,3.98亿,2.07,50.11,30.8亿,11.6亿,8.12亿,1.50亿,50.67,7.37亿,15.6亿,5.96亿,9.67亿,3.84,1.79亿,43.4亿
3509,300569,天能重工,14.22,26.65,1.24,38,12.0亿,64.03,7.75亿,6481万,0.4,22.1亿,6971万,11.44,-14.39,6.12亿,4.08,24.14,33.8亿,22.1亿,8.41亿,1.26亿,47.97,9.01亿,16.2亿,16.2亿,0,6,6003万,21.3亿
3510,300570,太辰光,18.91,30.26,3.71,50,18.0亿,34.08,4.86亿,1.24亿,0.47,11.3亿,1.25亿,5.09,37.81,3.69亿,1.6,32.22,14.3亿,11.3亿,1.89亿,5927万,17.36,5.12亿,2.48亿,2.27亿,2038万,2.23,1.08亿,43.5亿
3511,300571,平治信息,41.09,20.81,9.9,41,28.3亿,6.71,7.00亿,2.41亿,1.48,5.89亿,2.43亿,4.15,190.36,3.55亿,2.95,48.32,8.07亿,5.89亿,4964万,6925万,33.2,2440万,2.68亿,2.19亿,4877万,0.2,1.78亿,49.5亿
3512,300572,安车检测,45.45,43.93,8.62,30,25.4亿,25.27,3.63亿,1.11亿,0.78,9.51亿,1.11亿,5.27,55.21,2.71亿,2.24,49.58,10.4亿,9.51亿,4075万,3276万,38.82,2.28亿,4.05亿,4.04亿,49.3万,1.88,9393万,55.0亿
3513,300573,兴齐眼药,16.86,78.98,2.47,22,9.02亿,19.82,3.37亿,1220万,0.16,2.12亿,1322万,6.84,-68.47,2.06亿,2.49,71.31,6.99亿,2.12亿,3.99亿,2357万,20.71,2.30亿,1.45亿,1.15亿,3005万,3,1320万,13.9亿
3514,300575,中旗股份,43.53,17.95,2.85,36,15.0亿,30,11.8亿,1.57亿,1.82,10.7亿,1.57亿,15.27,67.78,5.15亿,7.02,21.2,20.7亿,10.7亿,4.12亿,5800万,45.9,4.72亿,9.51亿,7.31亿,2.20亿,6.43,1.33亿,31.9亿
3515,300576,容大感光,14.58,42.12,4.1,34,5.82亿,19.62,3.11亿,3405万,0.26,3.71亿,3805万,3.56,0.11,1.56亿,1.3,28.38,5.27亿,3.71亿,3024万,1650万,19.01,1.36亿,1.00亿,9518万,499万,1.13,3116万,17.5亿
3516,300577,开润股份,29.82,37.99,11,29,19.1亿,81.7,14.4亿,1.62亿,0.59,11.2亿,1.62亿,2.71,37.48,2.91亿,1.34,25.53,12.9亿,11.2亿,9236万,1027万,50.9,7490万,6.55亿,6.46亿,861万,0.34,1.28亿,64.9亿
3517,300578,会畅通讯,18.11,59.91,7.72,56,11.0亿,-13.98,1.75亿,3165万,0.23,2.79亿,3539万,2.35,20.39,7817万,0.59,52.59,3.72亿,2.79亿,2125万,230万,16.36,1.08亿,6079万,5551万,528万,0.82,3002万,24.0亿
3518,300579,数字认证,23.83,54.76,5.09,56,11.4亿,20.59,3.26亿,4653万,0.33,9.07亿,4652万,4.68,-16.94,2.14亿,1.78,63.01,9.70亿,9.07亿,1984万,523万,42.07,2.04亿,4.08亿,3.95亿,1306万,1.7,3916万,28.6亿
3519,300580,贝斯特,13.49,18.28,2.02,6,8.92亿,9.33,5.36亿,1.28亿,0.55,7.83亿,1.28亿,6.68,12.75,4.10亿,2.05,38.35,16.4亿,7.83亿,5.72亿,8920万,18.33,6.81亿,3.00亿,2.61亿,3843万,3.4,1.11亿,27.0亿
3520,300581,晨曦航空,14.05,56.38,4.07,15,8.38亿,-26.47,8404万,3830万,0.19,6.37亿,3834万,3.45,42.36,2.32亿,1.35,46.34,7.32亿,6.37亿,4358万,1100万,19.01,1.45亿,1.39亿,1.35亿,400万,0.84,3210万,24.1亿
3521,300582,英飞特,10.12,29.28,2.06,50,12.1亿,31.91,6.98亿,6575万,0.26,5.89亿,6612万,4.92,73.78,2.50亿,1.24,33.37,15.5亿,5.89亿,4.95亿,7971万,36.15,5.52亿,5.59亿,5.04亿,5517万,2.76,5233万,20.4亿
3522,300583,赛托生物,33.98,27.58,2.06,22,11.6亿,68.33,8.47亿,1.22亿,0.92,14.2亿,1.22亿,16.53,121.09,4.95亿,4.58,25.22,22.9亿,14.2亿,5.00亿,7161万,20.59,11.6亿,4.71亿,4.31亿,4031万,10.78,9977万,36.7亿
3523,300584,海辰药业,22.75,32.87,4.88,22,10.8亿,74.19,5.26亿,7242万,0.52,2.87亿,7211万,4.67,35.74,2.05亿,1.71,86.23,7.39亿,2.87亿,1.93亿,2314万,24.23,2.12亿,1.79亿,1.69亿,961万,1.77,6230万,27.3亿
3524,300585,奥联电子,9.28,32.68,3.27,6,7.77亿,-13.66,2.55亿,3847万,0.21,4.14亿,4001万,2.84,-25.23,1.41亿,0.87,36.98,7.60亿,4.14亿,1.22亿,1889万,38.95,1.38亿,2.96亿,2.76亿,2017万,0.85,3445万,15.0亿
3525,300586,美联新材,11.09,46.78,4.56,34,6.79亿,30.47,4.05亿,4669万,0.18,5.74亿,4840万,2.43,2.05,1.76亿,0.73,20.03,9.62亿,5.74亿,1.09亿,4587万,39.33,1.46亿,3.78亿,3.72亿,662万,0.61,4267万,26.6亿
3526,300587,天铁股份,19.07,36.07,2.25,48,8.02亿,58.57,3.24亿,5284万,0.4,8.00亿,5266万,8.46,-10.97,2.56亿,2.4,47.65,11.5亿,8.00亿,9278万,6889万,18.82,5.00亿,2.16亿,2.10亿,603万,4.7,4223万,20.3亿
3527,300588,熙菱信息,12.09,418.39,5.03,41,9.04亿,7.37,5.09亿,-236万,0.02,8.52亿,-242万,2.41,-90.02,1.66亿,1.01,21.14,10.8亿,8.52亿,863万,122万,65.57,3449万,7.07亿,6.93亿,1419万,0.32,354万,19.7亿
3528,300589,江龙船艇,12.15,126.61,7.66,31,7.29亿,-1.34,2.86亿,1665万,0.07,5.11亿,1698万,1.59,-32.11,9684万,0.48,19.71,8.26亿,5.11亿,1.78亿,3943万,61.06,969万,5.04亿,4.84亿,2068万,0.05,1460万,24.6亿
3529,300590,移为通信,27.3,40.09,5.27,42,26.5亿,43.73,3.05亿,9061万,0.51,8.74亿,9510万,5.18,36.1,1.92亿,1.19,46.89,9.91亿,8.74亿,9528万,1140,17.3,4.36亿,1.71亿,1.65亿,668万,2.8,8247万,44.1亿
3530,300591,万里马,5.99,111.71,3.99,29,6.85亿,15.93,4.66亿,1938万,0.04,7.46亿,1945万,1.5,-45.12,4774万,0.15,30.88,10.2亿,7.46亿,1.75亿,825万,51.3,9535万,5.21亿,5.07亿,1448万,0.31,1255万,18.7亿
3531,300592,华凯创意,9.53,46.04,2.29,53,8.62亿,-18.39,2.68亿,2127万,0.16,7.97亿,2274万,4.15,-47.08,2.12亿,1.73,28.08,10.0亿,7.97亿,5352万,2631万,49.17,1.70亿,4.92亿,4.29亿,6303万,1.39,1900万,11.7亿
3532,300593,新雷能,17.61,45.81,3.48,13,11.8亿,23.15,3.33亿,3418万,0.29,8.16亿,3390万,5.06,10.05,2.25亿,1.95,45.49,12.9亿,8.16亿,2.77亿,3978万,42.8,2.27亿,5.51亿,2.95亿,2.56亿,1.96,3331万,20.3亿
3533,300595,欧普康视,40.19,40.87,9.31,58,55.0亿,48.47,3.30亿,1.96亿,0.74,9.73亿,1.96亿,4.32,46.73,3.68亿,1.64,78.66,11.8亿,9.73亿,1.27亿,794万,14.01,3.67亿,1.66亿,1.59亿,702万,1.68,1.65亿,90.2亿
3534,300596,利安隆,26.83,24.46,4.7,34,32.9亿,29.73,11.3亿,1.82亿,0.82,10.4亿,1.82亿,5.7,58.58,4.74亿,2.63,31.08,17.7亿,10.4亿,4.24亿,1.39亿,40.43,3.40亿,7.16亿,6.41亿,7483万,1.89,1.48亿,48.3亿
3535,300597,吉大通信,15.02,111.1,4.81,56,11.0亿,-2.51,2.52亿,2926万,0.1,9.04亿,2916万,3.12,-28.18,2.67亿,1.11,26.3,9.99亿,9.04亿,3305万,445万,24.9,2.13亿,2.49亿,2.49亿,0,0.89,2433万,36.0亿
3536,300598,诚迈科技,21.41,130.94,3.76,56,10.4亿,3.98,3.80亿,1014万,0.12,4.47亿,1014万,5.69,-58.67,1.80亿,2.26,26.95,5.66亿,4.47亿,649万,2167万,19.4,1.75亿,1.10亿,7218万,3768万,2.19,981万,17.1亿
3537,300599,雄塑科技,10.37,15.53,2.32,48,9.40亿,23.85,13.1亿,1.87亿,0.5,10.8亿,1.86亿,4.48,73.73,4.33亿,1.42,22.99,17.0亿,10.8亿,3.72亿,1.53亿,20.17,5.75亿,3.44亿,2.97亿,4634万,1.89,1.52亿,31.5亿
3538,300600,瑞特股份,21.08,30.82,3.36,31,13.9亿,4.64,3.39亿,1.00亿,0.51,8.28亿,1.00亿,6.27,1.25,3.62亿,2.15,46.64,12.2亿,8.28亿,2.05亿,5352万,13.31,4.81亿,1.62亿,1.60亿,191万,2.85,8651万,35.6亿
3539,300601,康泰生物,32.36,41.08,13.14,22,80.0亿,88.82,15.0亿,4.29亿,0.59,17.2亿,4.40亿,2.46,140.6,5.91亿,0.93,90.67,32.1亿,17.2亿,4.50亿,1.19亿,48.78,4.78亿,15.7亿,9.79亿,5.86亿,0.75,3.76亿,206亿
3540,300602,飞荣达,33.73,42.83,6.35,50,20.8亿,22.49,9.07亿,1.45亿,0.59,13.4亿,1.43亿,5.31,71.46,5.86亿,2.87,31.09,16.8亿,13.4亿,2.38亿,1789万,34.72,3.03亿,5.83亿,3.70亿,2.13亿,1.49,1.21亿,68.9亿
3541,300603,立昂技术,25.75,54.51,5.83,56,12.4亿,-31.14,4.70亿,4310万,0.35,9.79亿,4299万,4.42,-38.26,2.02亿,1.97,25.15,13.8亿,9.79亿,1.53亿,762万,67.18,1.21亿,9.27亿,9.03亿,2420万,1.18,3632万,26.4亿
3542,300604,长川科技,30.99,107.52,9.81,58,20.4亿,73.86,1.72亿,3049万,0.22,4.60亿,3061万,3.16,27.32,1.20亿,0.81,59.16,6.20亿,4.60亿,670万,823万,25.87,2.24亿,1.60亿,1.58亿,273万,1.57,3223万,46.2亿
3543,300605,恒锋信息,15.4,42.27,3.61,56,7.46亿,14.78,2.91亿,3347万,0.27,6.66亿,3175万,4.27,6.2,1.36亿,1.24,30.14,7.21亿,6.66亿,4301万,47.7万,34.66,2.20亿,2.50亿,2.38亿,1157万,2,3005万,16.9亿
3544,300606,金太阳,18.9,29.42,3.37,13,6.16亿,58.9,2.96亿,6514万,0.48,4.67亿,6501万,5.6,-0.05,2.16亿,2.42,32.59,6.71亿,4.67亿,1.46亿,2951万,15.43,1.71亿,1.04亿,1.04亿,0,1.92,4298万,16.9亿
3545,300607,拓斯达,32.44,24.63,4.88,13,18.6亿,67.57,8.51亿,1.49亿,0.99,12.1亿,1.49亿,6.65,24.29,3.33亿,2.55,34.63,16.3亿,12.1亿,2.23亿,4231万,46.45,3.70亿,7.55亿,6.12亿,1.43亿,2.83,1.29亿,42.3亿
3546,300608,思特奇,18.1,456.68,3.04,56,12.5亿,11,3.86亿,480万,0.03,9.14亿,476万,5.95,-54.81,2.11亿,1.99,49.05,10.5亿,9.14亿,6980万,170万,39.61,3.00亿,4.16亿,4.14亿,157万,2.82,315万,19.2亿
3547,300609,汇纳科技,29.75,57.31,6.06,41,16.3亿,22.4,1.49亿,3794万,0.39,4.05亿,4296万,4.91,19.13,1.58亿,1.56,69.62,5.63亿,4.05亿,557万,166万,11.88,2.39亿,6691万,6406万,285万,2.36,3932万,30.0亿
3548,300610,晨化股份,12.78,22.61,2.63,34,6.36亿,16.98,6.00亿,7263万,0.42,6.46亿,7223万,4.86,3.01,2.46亿,1.63,22.24,8.78亿,6.46亿,9536万,3119万,16.51,2.77亿,1.45亿,1.22亿,2316万,1.84,6388万,19.3亿
3549,300611,美力科技,9.03,45.64,2.42,40,6.63亿,41.52,3.89亿,2756万,0.15,5.04亿,3235万,3.73,-19.2,2.07亿,1.16,26.82,10.4亿,5.04亿,3.42亿,6977万,36.04,2.59亿,3.74亿,2.26亿,1.48亿,1.45,2655万,16.2亿
3550,300612,宣亚国际,15.44,249.53,5.74,14,7.00亿,-10.97,2.70亿,1041万,0.05,4.74亿,1521万,2.69,-78.75,4747万,0.29,38.79,5.71亿,4.74亿,758万,156万,21.75,2.00亿,1.24亿,1.24亿,0,1.24,752万,25.0亿
3551,300613,富瀚微,93.5,65.53,4.18,50,12.1亿,-6.76,2.98亿,4302万,1.07,9.05亿,4739万,22.36,-40,3.20亿,7.07,41.47,11.6亿,9.05亿,1.85亿,1720万,11.6,7.01亿,1.34亿,1.24亿,999万,15.48,4849万,42.4亿
